object			
volume	61157	Bégin	1823
orth	Belleris		
entry	Bellesme	0	
orth	Bellesme		
entry	Bellon	0	
orth	Bellon		
entry	Bellotas, Ballotas	0	
orth	Bellotas		
orth	Ballotas		
entry	Belzoe, Belzoim	0	
orth	Belzoe		
orth	Belzoim		
entry	Ben	0	
orth	Ben		
entry	Benath	0	
orth	Benath		
entry	Bénéfice	0	
orth	Bénéfice		
entry	Bénignité	0	
orth	Bénignité		
entry	Bénin	0	
orth	Bénin		
entry	Benjoin	0	
orth	Benjoin		
entry	Benoite	0	
orth	Benoite		
entry	Benzoate	1	
orth	Benzoate		
pb	85	0095	
entry	Benzoïque	0	
orth	Benzoïque		
entry	Ber	0	
orth	Ber		
entry	Berbéridées	0	
orth	Berbéridées		
entry	Berberis	0	
orth	Berberis		
entry	Berce	0	
orth	Berce		
entry	Bercer	0	
orth	Bercer		
entry	Bergamote	0	
orth	Bergamote		
entry	Béribéri	0	
orth	Béribéri		
entry	Berle	0	
orth	Berle		
entry	Berlue	0	
orth	Berlue		
entry	Bers	0	
orth	Bers		
entry	Bertinal	0	
orth	Bertinal		
entry	Besicles	0	
orth	Besicles		
entry	Besoin	0	
orth	Besoin		
entry	Bessanem	0	
orth	Bessanem		
entry	Besse	0	
orth	Besse		
entry	Besson	0	
orth	Besson		
entry	Bètail	0	
orth	Bètail		
entry	Betel	1	
orth	Betel		
pb	86	0096	
entry	Bétise	0	
orth	Bétise		
entry	Bétoine	0	
orth	Bétoine		
entry	Beton	0	
orth	Beton		
entry	Bette	0	
orth	Bette		
entry	Betterave	0	
orth	Betterave		
entry	Bétuline	0	
orth	Bétuline		
entry	Beurre	0	
orth	Beurre		
entry	Bévue	0	
orth	Bévue		
entry	Bezoard	1	
orth	Bezoard		
pb	87	0097	
entry	Bézoardique	0	
orth	Bézoardique		
entry	Biceps	0	
orth	Biceps		
entry	Bichios	0	
orth	Bichios		
entry	Bicho	0	
orth	Bicho		
entry	Bicipital	0	
orth	Bicipital		
entry	Biconjugé	0	
orth	Biconjugé		
entry	Bicorne	0	
orth	Bicorne		
entry	Bicuspidé	0	
orth	Bicuspidé		
entry	Bidenté	0	
orth	Bidenté		
entry	Bidigité-penné	0	
orth	Bidigité-penné		
entry	Bière	0	
orth	Bière		
entry	Bifemoro-calcanien	0	
orth	Bifemoro-calcanien		
entry	Biferé	0	
orth	Biferé		
entry	Bifide	0	
orth	Bifide		
entry	Biflore	0	
orth	Biflore		
entry	Biforé	0	
orth	Biforé		
entry	Bifurcation	1	
orth	Bifurcation		
pb	88	0098	
entry	Bifurqué	0	
orth	Bifurqué		
entry	Bigle	0	
orth	Bigle		
entry	Bijugé	0	
orth	Bijugé		
entry	Bilabié	0	
orth	Bilabié		
entry	Bilamellé	0	
orth	Bilamellé		
entry	Bilazay	0	
orth	Bilazay		
entry	Bile	0	
orth	Bile		
entry	Biliaire	0	
orth	Biliaire		
entry	Bilieux	0	
orth	Bilieux		
entry	Bilin	0	
orth	Bilin		
entry	Billarder	0	
orth	Billarder		
entry	Billot	0	
orth	Billot		
entry	Bilobé	0	
orth	Bilobé		
entry	Biloculaire	0	
orth	Biloculaire		
entry	Bimane	0	
orth	Bimane		
entry	Binaire	0	
orth	Binaire		
entry	Binocle	0	
orth	Binocle		
entry	Bi-pariétal	0	
orth	Bi-pariétal		
entry	Biparti	0	
orth	Biparti		
entry	Bipartible	0	
orth	Bipartible		
entry	Bipède	0	
orth	Bipède		
entry	Bipinnatifide	0	
orth	Bipinnatifide		
entry	Bipinné	0	
orth	Bipinné		
entry	Bisannuel	0	
orth	Bisannuel		
entry	Biscuit	1	
orth	Biscuit		
pb	89	0099	
entry	Bi-sel	0	
orth	Bi-sel		
entry	Bisexe	0	
orth	Bisexe		
entry	Bisexuel	0	
orth	Bisexuel		
entry	Bismuth	0	
orth	Bismuth		
entry	Bistorte	0	
orth	Bistorte		
entry	Bistortier, Bistotier	0	
orth	Bistortier		
orth	Bistotier		
entry	Bistouri	0	
orth	Bistouri		
entry	Bistournage	0	
orth	Bistournage		
entry	Biterné	0	
orth	Biterné		
entry	Bithnimalca	0	
orth	Bithnimalca		
entry	Bittern	0	
orth	Bittern		
entry	Bitume	0	
orth	Bitume		
entry	Bitumineux	0	
orth	Bitumineux		
entry	Bituminisation	0	
orth	Bituminisation		
entry	Bivalve	1	
orth	Bivalve		
pb	90	0100	
entry	Biventre	0	
orth	Biventre		
entry	Blabe	0	
orth	Blabe		
entry	Blachmal	0	
orth	Blachmal		
entry	Blafard	0	
orth	Blafard		
entry	Blanc	0	
orth	Blanc		
entry	Blanchet	0	
orth	Blanchet		
entry	Blanchiment	0	
orth	Blanchiment		
entry	Blanchir	0	
orth	Blanchir		
entry	Blanchissage	0	
orth	Blanchissage		
entry	Blanquette	0	
orth	Blanquette		
entry	Blaru	0	
orth	Blaru		
entry	Blasé	0	
orth	Blasé		
entry	Blaste	0	
orth	Blaste		
entry	Blasteme	0	
orth	Blasteme		
entry	Blastoderme	0	
orth	Blastoderme		
entry	Blé	1	
orth	Blé		
pb	91	0101	
entry	Bléchnopyre	0	
orth	Bléchnopyre		
entry	Bleime	0	
orth	Bleime		
entry	Blême	0	
orth	Blême		
entry	Blende	0	
orth	Blende		
entry	Blennélytrie	0	
orth	Blennélytrie		
entry	Blennenterie	0	
orth	Blennenterie		
entry	Blennisthmie	0	
orth	Blennisthmie		
entry	Blennophthalmie	0	
orth	Blennophthalmie		
entry	Blennopyrie	0	
orth	Blennopyrie		
entry	Blennorhinie	0	
orth	Blennorhinie		
entry	Blennorrhagie	0	
orth	Blennorrhagie		
entry	Blennorrhagique	0	
orth	Blennorrhagique		
entry	Blennorrhée	0	
orth	Blennorrhée		
entry	Blennose	0	
orth	Blennose		
entry	Blennothorax	0	
orth	Blennothorax		
entry	Blennotorrhée	0	
orth	Blennotorrhée		
entry	Blennuréthrie	0	
orth	Blennuréthrie		
entry	Blennurie	0	
orth	Blennurie		
entry	Blepharides	0	
orth	Blepharides		
entry	Blépharite	0	
orth	Blépharite		
entry	Blépharoncose	0	
orth	Blépharoncose		
entry	Blépharophthalmie	0	
orth	Blépharophthalmie		
entry	Blépharoptosis	1	
orth	Blépharoptosis		
pb	92	0102	
entry	Blépharotite	0	
orth	Blépharotite		
entry	Blépharoxyste	0	
orth	Blépharoxyste		
entry	Blésité	0	
orth	Blésité		
entry	Blessure	0	
orth	Blessure		
entry	Blétissure	0	
orth	Blétissure		
entry	Bleue (maladie)	0	
orth	Bleue (maladie)		
entry	Bléville	0	
orth	Bléville		
entry	B. m.	0	
orth	B. m.		
entry	Bluet, Barbeau	0	
orth	Bluet		
orth	Barbeau		
entry	Bocal	0	
orth	Bocal		
entry	Bocard	0	
orth	Bocard		
entry	Bocardage	0	
orth	Bocardage		
entry	Bocarder	0	
orth	Bocarder		
entry	Boire	0	
orth	Boire		
entry	Bois (maladie des)	0	
orth	Bois (maladie des)		
entry	Bois	1	
orth	Bois		
pb	93	0103	
entry	Boisse	0	
orth	Boisse		
entry	Boisson	0	
orth	Boisson		
entry	Bois-Yvon	0	
orth	Bois-Yvon		
entry	Boîte	0	
orth	Boîte		
entry	Boitement	0	
orth	Boitement		
entry	Boiter	0	
orth	Boiter		
entry	Boiterie	0	
orth	Boiterie		
entry	Boiteux	0	
orth	Boiteux		
entry	Boitier	0	
orth	Boitier		
entry	Bol	1	
orth	Bol		
pb	94	0104	
entry	Bolaire	0	
orth	Bolaire		
entry	Bolet	0	
orth	Bolet		
entry	Bolétate	0	
orth	Bolétate		
entry	Bolétique	0	
orth	Bolétique		
entry	Bolétoides	0	
orth	Bolétoides		
entry	Bombement	0	
orth	Bombement		
entry	Bombiate	0	
orth	Bombiate		
entry	Bombicin	0	
orth	Bombicin		
entry	Bombicique	0	
orth	Bombicique		
entry	Bombique	0	
orth	Bombique		
entry	Bon-Henri	0	
orth	Bon-Henri		
entry	Bon-homme	0	
orth	Bon-homme		
entry	Bonne-dame	0	
orth	Bonne-dame		
entry	Bonnes	0	
orth	Bonnes		
entry	Bonnet	0	
orth	Bonnet		
entry	Bonplandie	0	
orth	Bonplandie		
entry	Boracique	0	
orth	Boracique		
entry	Boracite	0	
orth	Boracite		
entry	Borate	1	
orth	Borate		
pb	95	0105	
entry	Borax	0	
orth	Borax		
entry	Borborygme	0	
orth	Borborygme		
entry	Bord	0	
orth	Bord		
entry	Bordeaux	0	
orth	Bordeaux		
entry	Bore	0	
orth	Bore		
entry	Boréal	0	
orth	Boréal		
entry	Borgne	0	
orth	Borgne		
entry	Borique	0	
orth	Borique		
entry	Borraginées	0	
orth	Borraginées		
entry	Borse	0	
orth	Borse		
entry	Borure	0	
orth	Borure		
entry	Bosse	1	
orth	Bosse		
pb	96	0106	
entry	Botanique	0	
orth	Botanique		
entry	Botaniste	0	
orth	Botaniste		
entry	Botanologie	0	
orth	Botanologie		
entry	Botargue	0	
orth	Botargue		
entry	Bothrion	0	
orth	Bothrion		
entry	Botrycéphale	0	
orth	Botrycéphale		
entry	Botryètes	0	
orth	Botryètes		
entry	Bottine	0	
orth	Bottine		
entry	Boucage	0	
orth	Boucage		
entry	Bouche	0	
orth	Bouche		
entry	Bouchonner	0	
orth	Bouchonner		
entry	Bouclement	0	
orth	Bouclement		
entry	Boucler	0	
orth	Boucler		
entry	Bouclier	0	
orth	Bouclier		
entry	Bouffe	0	
orth	Bouffe		
entry	Bouffe	0	
orth	Bouffe		
entry	Bouffissure	0	
orth	Bouffissure		
entry	Bougie	1	
orth	Bougie		
pb	97	0107	
entry	Bouillie	0	
orth	Bouillie		
entry	Bouillon	0	
orth	Bouillon		
entry	Bouillon-blanc	0	
orth	Bouillon-blanc		
entry	Bouillonnement	0	
orth	Bouillonnement		
entry	Boule de Mars	0	
orth	Boule de Mars		
entry	Bouleau	0	
orth	Bouleau		
entry	Boulet	0	
orth	Boulet		
entry	Boulimie	0	
orth	Boulimie		
entry	Boulogne	0	
orth	Boulogne		
entry	Bouquet	0	
orth	Bouquet		
entry	Bouquetin	0	
orth	Bouquetin		
entry	Bourbillon	0	
orth	Bourbillon		
entry	Bourbon-Lancy	1	
orth	Bourbon-Lancy		
pb	98	0108	
entry	Bourbon-l'Archambault	0	
orth	Bourbon-l'Archambault		
entry	Bourbonne-les-Bains	0	
orth	Bourbonne-les-Bains		
entry	Bourboule	0	
orth	Bourboule		
entry	Bourdaine	0	
orth	Bourdaine		
entry	Bourdonnement	0	
orth	Bourdonnement		
entry	Bourdonnet	0	
orth	Bourdonnet		
entry	Bourgène	0	
orth	Bourgène		
entry	Bourgeons	0	
orth	Bourgeons		
entry	Bourges	0	
orth	Bourges		
entry	Bourrache	0	
orth	Bourrache		
entry	Bourrelet	0	
orth	Bourrelet		
entry	Boursault	0	
orth	Boursault		
entry	Bourse	0	
orth	Bourse		
entry	Boursouflé	0	
orth	Boursouflé		
entry	Boursouflure	0	
orth	Boursouflure		
entry	Boursserole	0	
orth	Boursserole		
entry	Bout	0	
orth	Bout		
entry	Bouteille	1	
orth	Bouteille		
pb	99	0109	
entry	Bout-en-train	0	
orth	Bout-en-train		
entry	Boutoir	0	
orth	Boutoir		
entry	Bouton	0	
orth	Bouton		
entry	Boutonnière	0	
orth	Boutonnière		
entry	Boyau	0	
orth	Boyau		
entry	Brachial	0	
orth	Brachial		
entry	Brachié	0	
orth	Brachié		
entry	Brachio-céphalique	0	
orth	Brachio-céphalique		
entry	Brachiodermien	0	
orth	Brachiodermien		
entry	Brachioncose	0	
orth	Brachioncose		
entry	Brachypnée	0	
orth	Brachypnée		
entry	Brachypote	0	
orth	Brachypote		
entry	Bractée	1	
orth	Bractée		
pb	100	0110	
entry	Bractéen	0	
orth	Bractéen		
entry	Bractéifère	0	
orth	Bractéifère		
entry	Bractéiforme	0	
orth	Bractéiforme		
entry	Bractéole	0	
orth	Bractéole		
entry	Bracteté	0	
orth	Bracteté		
entry	Bradypepsie	0	
orth	Bradypepsie		
entry	Bradyspermatisme	0	
orth	Bradyspermatisme		
entry	Brai	0	
orth	Brai		
entry	Braine	0	
orth	Braine		
entry	Branche	0	
orth	Branche		
entry	Branche-ursine	0	
orth	Branche-ursine		
entry	Branchial	0	
orth	Branchial		
entry	Branchie	0	
orth	Branchie		
entry	Bras	0	
orth	Bras		
entry	Brasegur	0	
orth	Brasegur		
entry	Brasque	0	
orth	Brasque		
entry	Brasquer	0	
orth	Brasquer		
entry	Brassicourt	0	
orth	Brassicourt		
entry	Brathu	0	
orth	Brathu		
entry	Brayer	0	
orth	Brayer		
entry	Brèches	0	
orth	Brèches		
entry	Bréchet	0	
orth	Bréchet		
entry	Bredissure	1	
orth	Bredissure		
pb	101	0111	
entry	Bredouillement	0	
orth	Bredouillement		
entry	Bregma	0	
orth	Bregma		
entry	Bréhaine	0	
orth	Bréhaine		
entry	Breher	0	
orth	Breher		
entry	Bresillet	0	
orth	Bresillet		
entry	Brétaudé	0	
orth	Brétaudé		
entry	Breuvage	0	
orth	Breuvage		
entry	Bricoler	0	
orth	Bricoler		
entry	Bride	0	
orth	Bride		
entry	Bringue	0	
orth	Bringue		
entry	Briquebec	0	
orth	Briquebec		
entry	Briquet	0	
orth	Briquet		
entry	Brocoli	0	
orth	Brocoli		
entry	Broiement	1	
orth	Broiement		
pb	102	0112	
entry	Bromatologie	0	
orth	Bromatologie		
entry	Brome	0	
orth	Brome		
entry	Bromographie	0	
orth	Bromographie		
entry	Bronche	0	
orth	Bronche		
entry	Bronchéal	0	
orth	Bronchéal		
entry	Broncher	0	
orth	Broncher		
entry	Bronchial	0	
orth	Bronchial		
entry	Bronchique	0	
orth	Bronchique		
entry	Bronchite	0	
orth	Bronchite		
entry	Bronchocèle	0	
orth	Bronchocèle		
entry	Bronchophonie	0	
orth	Bronchophonie		
entry	Bronchotome	0	
orth	Bronchotome		
entry	Bronchotomie	0	
orth	Bronchotomie		
entry	Bronze	0	
orth	Bronze		
entry	Brossardière (La)	0	
orth	Brossardière (La)		
entry	Brosse	0	
orth	Brosse		
entry	Brou	0	
orth	Brou		
entry	Brouillard	0	
orth	Brouillard		
entry	Brouiller (se)	0	
orth	Brouiller (se)		
entry	Brownien	0	
orth	Brownien		
entry	Brownisme	0	
orth	Brownisme		
entry	Browniste	0	
orth	Browniste		
entry	Brucée	1	
orth	Brucée		
pb	103	0113	
entry	Brucine	0	
orth	Brucine		
entry	Brucourt	0	
orth	Brucourt		
entry	Bruine	0	
orth	Bruine		
entry	Bruissement	0	
orth	Bruissement		
entry	Bruit	0	
orth	Bruit		
entry	Brulé	0	
orth	Brulé		
entry	Bruler	0	
orth	Bruler		
entry	Brûlure	0	
orth	Brûlure		
entry	Brunelle	0	
orth	Brunelle		
entry	Brut	0	
orth	Brut		
entry	Brute	0	
orth	Brute		
entry	Bruyères	0	
orth	Bruyères		
entry	Bryone	0	
orth	Bryone		
entry	Buanthropie	0	
orth	Buanthropie		
entry	Bube	0	
orth	Bube		
entry	Buron	0	
orth	Buron		
entry	Bubon	1	
orth	Bubon		
pb	104	0114	
entry	Bubonocèle	0	
orth	Bubonocèle		
entry	Bubononcose	0	
orth	Bubononcose		
entry	Bubonorexie	0	
orth	Bubonorexie		
entry	Buccal	0	
orth	Buccal		
entry	Buccelation	0	
orth	Buccelation		
entry	Buccinateur	0	
orth	Buccinateur		
entry	Bucco-labial	0	
orth	Bucco-labial		
entry	Bucco-pharyngien	0	
orth	Bucco-pharyngien		
entry	Buccule	0	
orth	Buccule		
entry	Bucton	0	
orth	Bucton		
entry	Bugle	0	
orth	Bugle		
entry	Buglose	0	
orth	Buglose		
entry	Bugrane	0	
orth	Bugrane		
entry	Buis	0	
orth	Buis		
entry	Buisard	0	
orth	Buisard		
entry	Bulbe	0	
orth	Bulbe		
entry	Bulbes	0	
orth	Bulbes		
entry	Bulbeux	0	
orth	Bulbeux		
entry	Bulbifère	1	
orth	Bulbifère		
pb	105	0115	
entry	Bulbiforme	0	
orth	Bulbiforme		
entry	Bulbille	0	
orth	Bulbille		
entry	Bulbillifère	0	
orth	Bulbillifère		
entry	Bulbo-caverneux	0	
orth	Bulbo-caverneux		
entry	Bulbo-uretral	0	
orth	Bulbo-uretral		
entry	Bulle	0	
orth	Bulle		
entry	Bulle	0	
orth	Bulle		
entry	Bulleux	0	
orth	Bulleux		
entry	Buphthalmie	0	
orth	Buphthalmie		
entry	Buplèvre	0	
orth	Buplèvre		
entry	Burac	0	
orth	Burac		
entry	Bursal	0	
orth	Bursal		
entry	Bussang	0	
orth	Bussang		
entry	Busserole	0	
orth	Busserole		
entry	Butica	0	
orth	Butica		
entry	Butyrate	0	
orth	Butyrate		
entry	Butyreux	0	
orth	Butyreux		
entry	Butyrique	0	
orth	Butyrique		
entry	Buveur	0	
orth	Buveur		
entry	C	0	
orth	C		
entry	Cabale	1	
orth	Cabale		
pb	106	0116	
entry	Cabaliste	0	
orth	Cabaliste		
entry	Cabalistique	0	
orth	Cabalistique		
entry	Caballin	0	
orth	Caballin		
entry	Cabaret	0	
orth	Cabaret		
entry	Cabballique	0	
orth	Cabballique		
entry	Cabrer (se)	0	
orth	Cabrer (se)		
entry	Cabriole	0	
orth	Cabriole		
entry	Cacagogue	0	
orth	Cacagogue		
entry	Cacao	0	
orth	Cacao		
entry	Cacaoyer	0	
orth	Cacaoyer		
entry	Cacatoire	0	
orth	Cacatoire		
entry	Caccionde	0	
orth	Caccionde		
entry	Cachectique	0	
orth	Cachectique		
entry	Cachexie	0	
orth	Cachexie		
entry	Cachiri	0	
orth	Cachiri		
entry	Cachou	1	
orth	Cachou		
pb	107	0117	
entry	Cachundé	0	
orth	Cachundé		
entry	Cacoalexitère	0	
orth	Cacoalexitère		
entry	Cacocholie	0	
orth	Cacocholie		
entry	Cacochylie	0	
orth	Cacochylie		
entry	Cacochyme	0	
orth	Cacochyme		
entry	Cacochymie	0	
orth	Cacochymie		
entry	Cacocnème	0	
orth	Cacocnème		
entry	Cacoèthe	0	
orth	Cacoèthe		
entry	Caconychie	0	
orth	Caconychie		
entry	Cacopathie	0	
orth	Cacopathie		
entry	Cacophonie	0	
orth	Cacophonie		
entry	Cacopragie	0	
orth	Cacopragie		
entry	Cacorachite	0	
orth	Cacorachite		
entry	Cacorhythme	0	
orth	Cacorhythme		
entry	Cacositie	0	
orth	Cacositie		
entry	Cacosphyxie	0	
orth	Cacosphyxie		
entry	Cacothymie	0	
orth	Cacothymie		
entry	Cacotrichie	0	
orth	Cacotrichie		
entry	Cacotrophie	0	
orth	Cacotrophie		
entry	Cactier	0	
orth	Cactier		
entry	Cadavéreux	0	
orth	Cadavéreux		
entry	Cadavérique	0	
orth	Cadavérique		
entry	Cadavre	0	
orth	Cadavre		
entry	Cadence	0	
orth	Cadence		
entry	Cadmie	1	
orth	Cadmie		
pb	108	0118	
entry	Cadmium	0	
orth	Cadmium		
entry	Cadre du tympan	0	
orth	Cadre du tympan		
entry	Caduc	0	
orth	Caduc		
entry	Caducité	0	
orth	Caducité		
entry	Caduque (membrane)	0	
orth	Caduque (membrane)		
entry	Cæcal	0	
orth	Cæcal		
entry	Cæcum	0	
orth	Cæcum		
entry	Cæsarien	0	
orth	Cæsarien		
entry	Café	1	
orth	Café		
pb	109	0119	
entry	Cafiéne	0	
orth	Cafiéne		
entry	Caféyer, Cafier	0	
orth	Caféyer		
orth	Cafier		
entry	Cafique	0	
orth	Cafique		
entry	Cagan	0	
orth	Cagan		
entry	Cagastrique	0	
orth	Cagastrique		
entry	Cagastrum	0	
orth	Cagastrum		
entry	Cagneux	0	
orth	Cagneux		
entry	Caieput	0	
orth	Caieput		
entry	Caïeu	0	
orth	Caïeu		
entry	Caillé	0	
orth	Caillé		
entry	Caillebotte	0	
orth	Caillebotte		
entry	Caillebotté	0	
orth	Caillebotté		
entry	Caille-lait	0	
orth	Caille-lait		
entry	Cailler	0	
orth	Cailler		
entry	Caillette	0	
orth	Caillette		
entry	Caillot	0	
orth	Caillot		
entry	Caisse	1	
orth	Caisse		
pb	110	0120	
entry	Cajeput, Kaîeput	0	
orth	Cajeput		
orth	Kaîeput		
entry	Cal	0	
orth	Cal		
entry	Calaba	0	
orth	Calaba		
entry	Calaguala	0	
orth	Calaguala		
entry	Calambac	0	
orth	Calambac		
entry	Calamedon	0	
orth	Calamedon		
entry	Calament	0	
orth	Calament		
entry	Calaminaire	0	
orth	Calaminaire		
entry	Calamine	0	
orth	Calamine		
entry	Calamite	0	
orth	Calamite		
entry	Calamus	0	
orth	Calamus		
entry	Calathide	0	
orth	Calathide		
entry	Calcaire	0	
orth	Calcaire		
entry	Calcanéo sous-phalangien du premier orteil	1	
orth	Calcanéo sous-phalangien du premier orteil		
pb	111	0121	
entry	Calcanéum	0	
orth	Calcanéum		
entry	Calcar	0	
orth	Calcar		
entry	Calcation	0	
orth	Calcation		
entry	Calcéolaire	0	
orth	Calcéolaire		
entry	Calcination	0	
orth	Calcination		
entry	Calciner	0	
orth	Calciner		
entry	Calcium	0	
orth	Calcium		
entry	Calcoïdien	0	
orth	Calcoïdien		
entry	Calcul	0	
orth	Calcul		
entry	Calculs	3	
orth	Calculs		
pb	112	0122	
pb	113	0123	
pb	114	0124	
entry	Calculeux	0	
orth	Calculeux		
entry	Calculifrage	0	
orth	Calculifrage		
entry	Caldas	0	
orth	Caldas		
entry	Caléfaction	0	
orth	Caléfaction		
entry	Calenture	0	
orth	Calenture		
entry	Calice	0	
orth	Calice		
entry	Calice	0	
orth	Calice		
entry	Caliciflore	0	
orth	Caliciflore		
entry	Calicinal	0	
orth	Calicinal		
entry	Calicinien	0	
orth	Calicinien		
entry	Calicule	0	
orth	Calicule		
entry	Caliculé	0	
orth	Caliculé		
entry	Caligo	0	
orth	Caligo		
entry	Calleux	0	
orth	Calleux		
entry	Calliblépharon	0	
orth	Calliblépharon		
entry	Callipédie	0	
orth	Callipédie		
entry	Callosité	0	
orth	Callosité		
entry	Calmant	0	
orth	Calmant		
entry	Calomélas, Calomel	0	
orth	Calomélas		
orth	Calomel		
entry	Caloricité	1	
orth	Caloricité		
pb	115	0125	
entry	Calorification	0	
orth	Calorification		
entry	Calorifique	0	
orth	Calorifique		
entry	Calorimètre	0	
orth	Calorimètre		
entry	Calorinèse	0	
orth	Calorinèse		
entry	Calorique	0	
orth	Calorique		
entry	Calotte	0	
orth	Calotte		
entry	Calus	0	
orth	Calus		
entry	Calvitie	0	
orth	Calvitie		
entry	Calyrion	0	
orth	Calyrion		
entry	Calyce	0	
orth	Calyce		
entry	Calyptré	0	
orth	Calyptré		
entry	Camara	0	
orth	Camara		
entry	Camarès	0	
orth	Camarès		
entry	Camarine	0	
orth	Camarine		
entry	Camarome	0	
orth	Camarome		
entry	Camarosis	1	
orth	Camarosis		
pb	116	0126	
entry	Cambium	0	
orth	Cambium		
entry	Cambo	0	
orth	Cambo		
entry	Cambonnes	0	
orth	Cambonnes		
entry	Cambouis	0	
orth	Cambouis		
entry	Cambré	0	
orth	Cambré		
entry	Cambrure	0	
orth	Cambrure		
entry	Cambuca	0	
orth	Cambuca		
entry	Camelée	0	
orth	Camelée		
entry	Caméléon	0	
orth	Caméléon		
entry	Caméline	0	
orth	Caméline		
entry	Camération	0	
orth	Camération		
entry	Camisole	0	
orth	Camisole		
entry	Camomille	0	
orth	Camomille		
entry	Camosiers	0	
orth	Camosiers		
entry	Campagne	0	
orth	Campagne		
entry	Campane	0	
orth	Campane		
entry	Campaniforme	1	
orth	Campaniforme		
pb	117	0127	
entry	Campanule	0	
orth	Campanule		
entry	Campanule	0	
orth	Campanule		
entry	Campèche	0	
orth	Campèche		
entry	Camper (se)	0	
orth	Camper (se)		
entry	Camphorate	0	
orth	Camphorate		
entry	Camphorique	0	
orth	Camphorique		
entry	Camphre	0	
orth	Camphre		
entry	Camphré	0	
orth	Camphré		
entry	Camphrée	0	
orth	Camphrée		
entry	Campsis	0	
orth	Campsis		
entry	Camus	0	
orth	Camus		
entry	Canal	1	
orth	Canal		
pb	118	0128	
entry	Cancer	1	
orth	Cancer		
pb	119	0129	
entry	Cancéreux	0	
orth	Cancéreux		
entry	Cancroïde	0	
orth	Cancroïde		
entry	Candé	0	
orth	Candé		
entry	Candi	0	
orth	Candi		
entry	Candisation	0	
orth	Candisation		
entry	Canepin	0	
orth	Canepin		
entry	Canicide	0	
orth	Canicide		
entry	Caniculaire	0	
orth	Caniculaire		
entry	Canicule	0	
orth	Canicule		
entry	Canin	0	
orth	Canin		
entry	Canitie	0	
orth	Canitie		
entry	Canne	0	
orth	Canne		
entry	Canneberge	0	
orth	Canneberge		
entry	Cannelé	0	
orth	Cannelé		
entry	Cannelle	0	
orth	Cannelle		
entry	Cannelle	1	
orth	Cannelle		
pb	120	0130	
entry	Cannellier	0	
orth	Cannellier		
entry	Cannelure	0	
orth	Cannelure		
entry	Canon	0	
orth	Canon		
entry	Cantharide	0	
orth	Cantharide		
entry	Cantharidine	0	
orth	Cantharidine		
entry	Canthus	0	
orth	Canthus		
entry	Cantonnement	0	
orth	Cantonnement		
entry	Canule	0	
orth	Canule		
entry	Caoutchouc, Gomme élastique	0	
orth	Caoutchouc		
orth	Gomme élastique		
entry	Cap	0	
orth	Cap		
entry	Capacité	0	
orth	Capacité		
entry	Caparacon	1	
orth	Caparacon		
pb	121	0131	
entry	Capbern, Capvern	0	
orth	Capbern		
orth	Capvern		
entry	Capelet	0	
orth	Capelet		
entry	Capeline	0	
orth	Capeline		
entry	Capelle-en-Vézie	0	
orth	Capelle-en-Vézie		
entry	Caphopicrite	0	
orth	Caphopicrite		
entry	Capillacé	0	
orth	Capillacé		
entry	Capillaire	0	
orth	Capillaire		
entry	Capillament	0	
orth	Capillament		
entry	Capillarité	0	
orth	Capillarité		
entry	Capillation	0	
orth	Capillation		
entry	Capistration	0	
orth	Capistration		
entry	Capistre	0	
orth	Capistre		
entry	Capital	0	
orth	Capital		
entry	Capité	0	
orth	Capité		
entry	Capiteux	0	
orth	Capiteux		
entry	Capitiluve	0	
orth	Capitiluve		
entry	Capitule	0	
orth	Capitule		
entry	Capitulé	1	
orth	Capitulé		
pb	122	0132	
entry	Capnomancie	0	
orth	Capnomancie		
entry	Cappone	0	
orth	Cappone		
entry	Capraire	0	
orth	Capraire		
entry	Capre	0	
orth	Capre		
entry	Capréolaire	0	
orth	Capréolaire		
entry	Câprier	0	
orth	Câprier		
entry	Caprification	0	
orth	Caprification		
entry	Caprisant	0	
orth	Caprisant		
entry	Caprizant	0	
orth	Caprizant		
entry	Capsulaire	0	
orth	Capsulaire		
entry	Capsule	1	
orth	Capsule		
pb	123	0133	
entry	Capuchon	0	
orth	Capuchon		
entry	Capuchonné	0	
orth	Capuchonné		
entry	Capucine	0	
orth	Capucine		
entry	Capus	0	
orth	Capus		
entry	Caput mortuum	0	
orth	Caput mortuum		
entry	Caque-sangue	0	
orth	Caque-sangue		
entry	Caracol	0	
orth	Caracol		
entry	Caractère	0	
orth	Caractère		
entry	Caracteriser	0	
orth	Caracteriser		
entry	Caractéristique	0	
orth	Caractéristique		
entry	Carambolier	0	
orth	Carambolier		
entry	Caramel	0	
orth	Caramel		
entry	Caraque	0	
orth	Caraque		
entry	Carbonate	1	
orth	Carbonate		
pb	124	0134	
entry	Carbone	0	
orth	Carbone		
entry	Carboné	0	
orth	Carboné		
entry	Carboneux	0	
orth	Carboneux		
entry	Carbonique	0	
orth	Carbonique		
entry	Carbonisation	0	
orth	Carbonisation		
entry	Carboniser	0	
orth	Carboniser		
entry	Carbonite	0	
orth	Carbonite		
entry	Carbure	1	
orth	Carbure		
pb	125	0135	
entry	Carburé	0	
orth	Carburé		
entry	Carcerulaire	0	
orth	Carcerulaire		
entry	Carcerule	0	
orth	Carcerule		
entry	Carchésien	0	
orth	Carchésien		
entry	Carcinomateux	0	
