object	
orth	Complexion
orth	Complication
orth	Composé
orth	Compresse
orth	Compressible
orth	Comprimé
orth	Concaténation
orth	Concave
orth	Concentration
pb	76
orth	Concentrique
orth	Conception
orth	Conchite
orth	Conchoïdal
orth	Conchoïde
orth	Conchyle
orth	Conchyliologie
orth	Conchyliotypolite
orth	Concoction
orth	Concomitant
orth	Concret
orth	Concrétion
orth	Condensabilité
orth	Condensable
orth	Condensateur
orth	Condensation
orth	Condit
orth	Conducteur
orth	Conductibilité
orth	Conduit
orth	Condyle
orth	Condyloïde
orth	Condyloïdien
orth	Condylome
pb	77
orth	Cône
orth	Confection
orth	Configuration
orth	Confire
orth	Confluent
orth	Conformation
orth	Confortatif
orth	Confortation
orth	Conforter
orth	Confrication
orth	Confusion
orth	Congélation
orth	Congeler
orth	Congénère
orth	Congestion
orth	Conglaciation
orth	Conglobé
orth	Congloméré
pb	78
orth	Conglutinant
orth	Conglutination
orth	Conglutiner
orth	Congrès
orth	Conifère
orth	Conjonctive
orth	Conjugaison
orth	Connées
orth	Connivent
orth	Conoïde
orth	Conque
orth	Conserve
orth	Consistance
orth	Consolidant
orth	Consolidation
orth	Consommé
orth	Consomptif
orth	Consomption
orth	Constellation
pb	79
orth	Constipation
orth	Constitution
orth	Constricteur
orth	Constriction
orth	Contact
orth	Contagieux
orth	Contagion
orth	Contemplation
orth	Contentif
orth	Contexture
orth	Contiguïté
orth	Continent
orth	Continu
orth	Continuité
orth	Contondant
orth	Contorsion
orth	Contractif
orth	Contractile
orth	Contractilité
orth	Contraction
orth	Contre-coup
pb	80
orth	Contre-extension
orth	Contre-indication
orth	Contus
orth	Contusion
orth	Convalescence
orth	Convergence
orth	Convergent
orth	Convexe
orth	Convoluté
orth	Convulsé
orth	Convulsif
orth	Convulsion
orth	Cophose
orth	Coprocritiques
orth	Coprostasie
orth	Copulation
orth	Coque
orth	Coqueluche
pb	81
orth	Coquillage
orth	Coquille
orth	Cor
orth	Coraco-brachial
orth	Coracoclaviculaire
orth	Coracohyoïdien
orth	Coracoïde
orth	Coraco-radial
orth	Corail
orth	Coralline
orth	Cordial
orth	Cordon
orth	Cornée
orth	Cornet
orth	Cornue
orth	Corolle
orth	Coronaire
pb	82
orth	Coronal
orth	Coroné
orth	Coronoïde
orth	Corps
orth	Corpulence
orth	Corpuscule
orth	Corroborant
orth	Corroboratif
orth	Corroboration
orth	Corrodant
orth	Corrosif
orth	Corrosion
orth	Corrugateur
orth	Corrugation
orth	Corruption
orth	Corselet
orth	Cortical
orth	Coruscation
orth	Corybantiasme
orth	Corymbe
orth	Corymbifère
pb	83
orth	Coryza
orth	Co-sécante
orth	Co-sinus
orth	Cosmétique
orth	Cosmique
orth	Cosmogonie
orth	Cosmographie
orth	Cosmolabe
orth	Cosmologie
orth	Cosmopolite
orth	Cosse
orth	Costal
orth	Co-tangente
orth	Côte
orth	Cotyle
orth	Cotylédon
pb	84
orth	Cotyloïde
orth	Cou
orth	Coude
orth	Coude-pied
orth	Couenneux
orth	Couleur
orth	Couloir
orth	Coup de sang
orth	Coup de soleil
orth	Coupelle
orth	Couperose
orth	Coupure
orth	Courbature
orth	Courbe
orth	Courbure
orth	Couronne
orth	Couronné
orth	Couronnement
orth	Cours de ventre
pb	85
orth	Couture
orth	Couvre-chef
orth	Coxal
orth	Crabe
orth	Crachat
orth	Crampe
orth	Crâne
orth	Crapule
orth	Crase
orth	Craspedon
orth	Crassamentum
orth	Cremastère
orth	Crémastère
orth	Crème de tartre
orth	Cremer
orth	Créné
orth	Crénulé
orth	Crépitation
orth	Crépu
orth	Crépuscule
orth	Crète
pb	86
orth	Crête-de-coq
orth	Creuset
orth	Crevasse
orth	Cribleux
orth	Cribration
orth	Cricoaryténoïde
orth	Cricoïde
orth	Cricopharyngien
orth	Cricothyroïdien
orth	Crin
orth	Crinal
orth	Crinon
orth	Crise
orth	Crispation
orth	Crithe
orth	Critique
orth	Croassement
orth	Crochet
pb	87
orth	Crocus
orth	Crotale
orth	Crotaphite
orth	Crotte
orth	Croûte
orth	Cru
orth	Crucial
orth	Crucifère
orth	Crudité
orth	Cruor
orth	Crural
orth	Crustacé
orth	Crypte
orth	Cryptogame
orth	Cryptogamie
orth	Cryptométallin
orth	Crystal
orth	Crystallin
orth	Crystalline
pb	88
orth	Crystallisation
orth	Crystallographie
orth	Crystalloïde
orth	Cube
orth	Cubique
orth	Cubistique
orth	Cubital
orth	Cubitus
orth	Cuboïde
orth	Cucullaire
orth	Cucuphe
orth	Cucurbitacé
orth	Cucurbitain
orth	Cucurbite
orth	Cuir
orth	Cuisse
orth	Cuivre
pb	89
orth	Culmifère
orth	Culminant
orth	Culmination
orth	Culminer
orth	Cultellation
orth	Cunéiforme
orth	Cupule
orth	Curable
orth	Curatif
orth	Curation
orth	Cure
orth	Curvateur
orth	Curviligne
orth	Cutambule
orth	Cutané
orth	Cuticule
orth	Cyanomètre
orth	Cyathe
orth	Cyclamen
orth	Cycle
orth	Cycloïde
orth	Cyclope
pb	90
orth	Cycloptère
orth	Cygne
orth	Cylindre
orth	Cylindrique
orth	Cylindroïde
orth	Cynancie
orth	Cynanthropie
orth	Cynarocéphale
orth	Cynique
orth	Cynoglosse
orth	Cynorexie
orth	Cynorrhodon
orth	Cynosure
orth	Cyphose
orth	Cysthépatique
orth	Cystique
orth	Cystirrhagie
orth	Cystite
pb	91
orth	Cystobubonocèle
orth	Cystocèle
orth	Cystomérocèle
orth	Cystotomie
orth	Danse de saint-weith
orth	Daphnite
orth	Dartos
orth	Dartre
orth	Dartreux
orth	Dasyures
orth	Davier
orth	Déalbation
orth	Débilitation
orth	Débilité
orth	Débiliter
orth	Déboîtement
orth	Déboîter
orth	Décafide
orth	Décagone
orth	Décagramme
orth	Décagyne
pb	92
orth	Décagynie
orth	Décalitre
orth	Décalobé
orth	Décamètre
orth	Décamyron
orth	Décandre
orth	Décandrie
orth	Décantation
orth	Décaparti
orth	Décaper
orth	Décapétalé
orth	Décapeylle
orth	Décastère
orth	Déchaussoir
orth	Déciare
orth	Décidu
orth	Décigramme
orth	Décilitre
orth	Décimal
orth	Décime
orth	Décimètre
orth	Décistère
orth	Déclin
orth	Déclinaison
pb	93
orth	Déclive
orth	Déclivité
orth	Décoction
orth	Décollement
orth	Décortication
orth	Décourant
orth	Décrépit
orth	Décrépitation
orth	Décrétoire
orth	Décrusage
orth	Décrusement
orth	Décursif
orth	Décussation
orth	Défaillance
orth	Défécation
orth	Défensif
orth	Déférent
orth	Défeuillaison
orth	Définition
pb	94
orth	Déflagration
orth	Déflegmation
orth	Déglutition
orth	Dégoût
orth	Degré
orth	Dégustation
orth	Déhiscence
orth	Déjection
orth	Délayant
orth	Délire
orth	Délitescence
orth	Délivre
orth	Deltoïde
orth	Démangeaison
orth	Démence
orth	Démonomanie
orth	Démonstration
orth	Dendrite
orth	Dendroïde
pb	95
orth	Dendroïte
orth	Dendrolithe
orth	Dénominateur
orth	Dense
orth	Densité
orth	Dent
orth	Denté
orth	Denticulé
orth	Dentifrice
orth	Dentirostres
orth	Dentiste
orth	Dentition
orth	Dénudation
orth	Départ
orth	Déphlogistiqué
orth	Dépilation
orth	Dépilatoire
orth	Dépôt
orth	Dépravation
orth	Dépression
orth	Dépressoire
orth	Dépuration
pb	96
orth	Dépuratoire
orth	Dépuré
orth	Dérivatif
orth	Dérivation
orth	Dermatoïde
orth	Derme
orth	Dermestes
orth	Dermographie
orth	Dermologie
orth	Dermotomie
orth	Descente
orth	Description
orth	Desmographie
orth	Desmologie
orth	Desmotomie
orth	Désobstruant
orth	Désobstructif
orth	Désopilant
orth	Désopilatif
orth	Désopilation
orth	Despumation
orth	Desquamation
pb	97
orth	Dessiccatif
orth	Dessiccation
orth	Désudation
orth	Détergent
orth	Déterger
orth	Détersif
orth	Détonation
orth	Détorse
orth	Détroit
orth	Détroncation
orth	Deutéropathie
orth	Développée
orth	Développement
orth	Déviation
orth	Dévoiement
orth	Diabétès
orth	Diabétique
orth	Diabotanum
orth	Diabrose
orth	Diabrotique
pb	98
orth	Diacarthame
orth	Diacaustique
orth	Diachylon
orth	Diacode
orth	Diacopé
orth	Diacoustique
orth	Diacranien
orth	Diadelphe
orth	Diadelphie
orth	Diadelphique
orth	Diadoche
orth	Diagnostique
orth	Diagonal
orth	Diaire
orth	Dialectique
orth	Dialthée
orth	Diamant
pb	99
orth	Diamargariton
orth	Diamètre
orth	Diamoru
orth	Diandrie
orth	Dianucum
orth	Diapalme
orth	Diapasme
orth	Diapédèse
orth	Diaphane
orth	Diaphanéité
orth	Diaphénic
orth	Diaphœnix
orth	Diaphorèse
orth	Diaphorétique
orth	Diaphragmatique
orth	Diaphragme
pb	100
orth	Diaphragmitis
orth	Diaphthora
orth	Diaphyse
orth	Diapnotique
orth	Diaprun
orth	Diarrhée
orth	Diarrhodon
orth	Diarthrose
orth	Diascordium
orth	Diasebeste
orth	Diasène
orth	Diasostique
orth	Diastase
orth	Diastole
orth	Diatessaron
orth	Diathèse
orth	Dichotome
pb	101
orth	Dicline
orth	Dicoque
orth	Dicotylédoné
orth	Dicrote
orth	Didactique
orth	Didactyle
orth	Didelphes
orth	Didyme
orth	Didyname
orth	Didynamie
orth	Didynamique
orth	Dièdre
orth	Diérèse
orth	Diérétique
orth	Diète
orth	Diététique
pb	102
orth	Diffus
orth	Digastrique
orth	Digesteur
orth	Digestif
orth	Digestion
orth	Digital
orth	Digité
orth	Digitigrades
orth	Digyne
orth	Digynie
orth	Dihèdre
orth	Dilacération
orth	Dilatabilité
orth	Dilatateur
orth	Dilatation
orth	Dilatatoire
orth	Dilatoire
orth	Diodons
orth	Diœcie
pb	103
orth	Dioïque
orth	Dioncose
orth	Dioptre
orth	Dioptrique
orth	Diorrhose
orth	Dipétalé
orth	Diphylle
orth	Diplodes
orth	Diploé
orth	Diplôme
orth	Diplopie
orth	Dipsade
orth	Dipsétique
orth	Diptères
orth	Discoïde
orth	Discret
orth	Discrimen
orth	Discussif
pb	104
orth	Dislocation
orth	Dispensaire
orth	Dispensation
orth	Dispermatique
orth	Disperme
orth	Disposition
orth	Disque
orth	Dissection
orth	Disséqueur
orth	Dissimilaire
orth	Dissolution
orth	Dissolvant
pb	105
orth	Distension
orth	Distichiasis
orth	Distillation
orth	Distiller
orth	Distique
orth	Distokie
orth	Distorsion
orth	Distraction
orth	Diurèse
orth	Diurétique
orth	Diurne
orth	Divarication
orth	Divariqué
orth	Divergence
orth	Divergent
orth	Dividende
orth	Diviseur
orth	Divisif
orth	Division
orth	Docimastique
orth	Dodécaèdre
orth	Dodécagone
orth	Dodécagynie
pb	106
orth	Dodécandrie
orth	Dogme
orth	Doloire
orth	Domestique
orth	Donacies
orth	Dorsal
orth	Dorsifère
orth	Dos
orth	Dose
orth	Douche
orth	Douleur
orth	Dracène
orth	Drachme
orth	Drageons
orth	Dragme
orth	Dragonneaux
orth	Dragons
pb	107
orth	Drapé
orth	Drastique
orth	Drèche
orth	Drogue
orth	Dropax
orth	Droupe
orth	Drupe
orth	Ductile
orth	Ductilité
orth	Dulcifier
orth	Duodénum
orth	Duplicature
orth	Dure-mère
orth	Durillon
orth	Dycsesthésie
orth	Dynamique
orth	Dysanagogue
orth	Dyscinésie
orth	Dyscrasie
orth	Dysécie
orth	Dyslochie
orth	Dysménorrhée
orth	Dysodie
orth	Dysorexie
pb	108
orth	Dyspepsie
orth	Dyspermasie
orth	Dysphonie
orth	Dyspnée
orth	Dyssenterie
orth	Dysthymie
orth	Dystocie
orth	Dysurie
orth	Dytiques
orth	Eau
orth	Eau-de-luce
orth	Eau-de-vie
orth	Eaux médicinales
pb	109
orth	Ébullition
orth	Écaille
orth	Écailleux
orth	Ecboliques
orth	Eccathartique
orth	Ecchymose
orth	Eccopé
orth	Eccoprotique
orth	Eccoprotiques
orth	Eccorthatique
orth	Eccotratique
orth	Eccrinologie
pb	110
orth	Échancré
orth	Échancrure
orth	Écharpe
orth	Échauboulures
orth	Échauffant
orth	Échidné
orth	Échine
orth	Échinite
orth	Échinoderme
orth	Échinomies
orth	Échinophore
orth	Échinophthalmie
orth	Échioïdes
orth	Écho
orth	Échomètre
orth	Éclampsie
orth	Éclectique
orth	Éclegme
orth	Éclipse
orth	Écliptique
pb	111
orth	Éclisse
orth	Économie
orth	Écorce
orth	Écorchure
orth	Écoulement
orth	Ecphractiques
orth	Ecpiesme
orth	Écrevisse
orth	Écrouelles
orth	Ecsarcome
orth	Ecthymose
orth	Ectillotiques
orth	Ectropion
orth	Ectrotiques
orth	Ectylotiques
orth	Écusson
orth	Édenté
orth	Édulcoration
orth	Effervescence
pb	112
orth	Efficace
orth	Efficient
orth	Effleurir
orth	Efflorescence
orth	Effluve
orth	Effort des reins
orth	Effusion
orth	Égagropile
orth	Egilops
orth	Éjaculateur
orth	Éjaculation
orth	Éjaculatoire
orth	Éjection
orth	Élaboration
orth	Élaborer
orth	Élambication
orth	Élasticité
orth	Élastique
orth	Élatère
orth	Élection
pb	113
orth	Électricité
orth	Électromètre
orth	Électrophore
orth	Électuaire
orth	Élément
orth	Éléo-saccharum
orth	Éléphantiasis
orth	Élévation
orth	Élévatoire
orth	Élevure
orth	Élitre
orth	Élixation
orth	Élixir
orth	Élixiviation
orth	Ellébore
pb	114
orth	Ellipse
orth	Ellipsoïde
orth	Élode
orth	Élongation
orth	Élutriation
orth	Élytre
orth	Élytrocèle
orth	Élytroïde
orth	Émanation
orth	Émasculer
orth	Embarrure
orth	Embaumement
orth	Embolisme
orth	Embrocation
orth	Embryographie
orth	Embryologie
orth	Embryon
orth	Embryothlaste
pb	115
orth	Embryotomie
orth	Embryulkie
orth	Émeraude
orth	Émergent
orth	Émersion
orth	Émétique
orth	Eméto-cathartique
orth	Émétologie
orth	Émissaire
orth	Émission
orth	Emménagogue
orth	Emménologie
orth	Emmesostome
orth	Émollient
orth	Émonctoire
orth	Émousser
orth	Empasme
orth	Emphractiques
orth	Emphraxie
orth	Emphysème
pb	116
orth	Empirique
orth	Empirisme
orth	Emplastiques
orth	Emplâtre
orth	Emprosthotonos
orth	Empyème
orth	Empyocèle
orth	Empyomphale
orth	Empyreumatique
orth	Empyreume
orth	Emulgent
orth	Emulsif
orth	Emulsion
orth	Enarthrose
orth	Encanthis
orth	Encaveure
orth	Encéphale
orth	Encéphalique
orth	Encéphalite
orth	Encéphalocèle
pb	117
orth	Enchifrenement
orth	Enchiridon
orth	Enchymose
orth	Enclavé
orth	Enclavement
orth	Enclume
orth	Encyclie
orth	Encyclopédie
orth	Endécagone
orth	Endémique
orth	Endémiques
orth	Énéorème
orth	Énergie
orth	Énervation
orth	Enfantement
orth	Enflure
orth	Engaînant
orth	Engaîné
orth	Engastriloque
orth	Engastrimythe
orth	Engelure
pb	118
orth	Engourdissement
orth	Engrenure
orth	Engyscope
orth	Enhydre
orth	Enkiridon
orth	Enkysté
orth	Ennéadécatéride
orth	Ennéagone
orth	Ennéandrie
orth	Énodé
orth	Énorchite
orth	Énoué
orth	Enrouement
orth	Ens
orth	Ensiforme
orth	Entaille
orth	Entendement
orth	Entérite
pb	119
orth	Entérocèle
orth	Entérocystocèle
orth	Entéroépiplocèle
orth	Entéroépiplomphale
orth	Entérographie
orth	Entérohydrocèle
orth	Entérohydromphale
orth	Entérologie
orth	Entéromphale
orth	Entéroraphé
orth	Entérosarcocèle
orth	Entéroschéocèle
orth	Entérotomie
orth	Enthlasis
orth	Entité
orth	Entomolithes
orth	Entomologie
orth	Entomostracés
orth	Entonnoir
orth	Entorse
orth	Entrailles
orth	Enucléation
orth	Envergure
pb	120
orth	Envie
orth	Éolipyle
orth	Épacte
orth	Épagomènes
orth	Épaule
orth	Éperon
orth	Éphélides
orth	Éphémère
orth	Éphémérides
orth	Éphialte
orth	Éphidrose
orth	Épi
orth	Épial
orth	Épian
pb	121
orth	Épicarpe
orth	Épicaume
orth	Épicérastique
orth	Épicondyle
orth	Épicrane
orth	Épicrase
orth	Épicycle
orth	Épicycloïde
orth	Épidémie
orth	Épidémique
orth	Épidémiques
orth	Épiderme
orth	Épididyme
orth	Épigastre
orth	Épigastrique
orth	Épigénésie
orth	Épiginomènes
pb	122
orth	Épiglotte
orth	Épigyne
orth	Épigynique
orth	Épilepsie
orth	Épileptique
orth	Épillet
orth	Épine
orth	Épineux
orth	Épinière
orth	Épinyctides
pb	123
orth	Épiphénomènes
orth	Épiphora
orth	Épiphore
orth	Épiphyse
orth	Épiplérose
orth	Épiplocèle
orth	Épiploïque
orth	Épiploïtis
orth	Épiplomphale
orth	Épiploomphale
orth	Épiploon
orth	Épiplosarcomphale
orth	Épiploschéocèle
orth	Épischèse
orth	Épispastique
orth	Épistaphylin
orth	Épistase
orth	Épistaxès
orth	Épistaxis
pb	124
orth	Épithème
orth	Épitrochlée
orth	Épitroklée
orth	Épizcotie
orth	Épizootique
orth	Épreintes
orth	Éptacorde
orth	Eptagone
orth	Épulie
orth	Épulotiques
orth	Équateur
orth	Équation
orth	Équiangle
orth	Équidistant
orth	Équilatéral
orth	Équilatère
orth	Équilibre
orth	Équimultiple
orth	Équinoxe
pb	125
orth	Équinoxial
orth	Équitation
orth	Éradicatif
orth	Éraillement
orth	Érecteur
orth	Érection
orth	Éréthisme
orth	Ergot
orth	Érigne
orth	Érine
orth	Érosion
orth	Éroticomanie
orth	Érotique
orth	Érotomanie
orth	Erpétologie
orth	Erratique
orth	Erreur de lieu
orth	Errhin
orth	Errhine
orth	Éructation
orth	Érugineux
pb	126
orth	Éruption
orth	Érysipèle
orth	Érythématique
orth	Érythème
orth	Érythroïde
orth	Escarotiques
orth	Escarre
orth	Escharre
orth	Espatule
orth	Espèces
orth	Esphlase
orth	Esprit
orth	Esquille
orth	Esquinancie
orth	Essence
orth	Essentiel
pb	127
orth	Esséra
orth	Essère
orth	Esthiomène
orth	Estiomène
orth	Estomac
orth	Étain
orth	Étamine
orth	État
orth	Étendard
orth	Éternuement
orth	Étésien
orth	Étésies
orth	Éther
pb	128
orth	Éthiops
orth	Éthique
orth	Ethmoïdal
orth	Ethmoïde
orth	Etiolement
orth	Étiologie
orth	Étique
orth	Étisie
orth	Étoc
orth	Étoilé
orth	Étrier
orth	Étuve
orth	Étuver
orth	Étymologie
orth	Eucrasie
orth	Eudiomètre
orth	Euexie
orth	Eunuque
orth	Eupepsie
pb	129
orth	Euphonie
orth	Euphorie
orth	Eurythmie
orth	Euthésie
orth	Euthymie
orth	Eutrophie
orth	Évacuans
orth	Évacuatifs
orth	Évacuation
orth	Évanouissement
orth	Évaporation
orth	Exaèdre
orth	Exagone
orth	Exaltation
orth	Exanthème
pb	130
orth	Exaspération
orth	Excentricité
orth	Excentrique
orth	Excipient
orth	Excitateur
orth	Excitement
orth	Excoriation
orth	Excréation
orth	Excrément
orth	Excrémentiel
orth	Excrémentieux
orth	Excréteur
orth	Excrétoire
orth	Excroissance
orth	Exercice
orth	Exérèse
orth	Exfoliatif
orth	Exfoliation
pb	131
orth	Exhalaison
orth	Exhalation
orth	Exiture
orth	Exoine
orth	Exomphale
orth	Exophthalmie
orth	Exostose
orth	Exotique
orth	Expansion
orth	Expectorant
orth	Expectoration
orth	Expiration
orth	Exploration
orth	Explosion
orth	Exponentiel
orth	Exposant
orth	Expression
orth	Expulsif
orth	Exsanguin
pb	132
orth	Exsiccation
orth	Exsuccion
orth	Exsuder
orth	Extase
orth	Extemporané
orth	Extenseur
orth	Extension
orth	Exténuation
orth	Extirpation
orth	Extractif
orth	Extraction
orth	Extracto-résine
orth	Extracto-sucré
orth	Extrait
orth	Extravasation
pb	133
orth	Extravasé
orth	Extravasion
orth	Extraversion
orth	Extraxillaire
orth	Extrémité
orth	Exubère
orth	Exuder
orth	Exulcération
orth	Exutoire
orth	Face
orth	Facial
orth	Factice
orth	Faculté
orth	Fade
orth	Fadeur
orth	Fagone
orth	Fagoue
orth	Faim
orth	Falciforme
orth	Falqué
orth	Falsifier
orth	Famille
pb	134
orth	Fanons
orth	Fantaisie
orth	Fantastique
orth	Fantôme
orth	Fardé
orth	Farinacé
orth	Farineux
orth	Fascia-lata
orth	Fascicule
orth	Fasciculé
orth	Fascié
orth	Fastigié
orth	Fatuité
orth	Fausse galène
orth	Fausse-couche
orth	Faux-germe
orth	Fébricitant
orth	Fébrifuge
orth	Fébrile
orth	Fécale
orth	Fèces
orth	Fécondation
orth	Fécule
pb	135
orth	Féculence
orth	Féculent
orth	Feld-spath
orth	Femelle
orth	Femme
orth	Fémoral
orth	Fémur
orth	Fenestré
orth	Fenêtre
orth	Fer
orth	Fer-chaud
orth	Férine
orth	Ferment
orth	Fermentation
orth	Ferrification
orth	Ferrugineux
orth	Fertile
orth	Fesses
orth	Fessier
orth	Fétide
pb	136
orth	Feu
orth	Feuillade
orth	Feuillaison
orth	Feuille
orth	Feuillets
orth	Fibre
orth	Fibreux
orth	Fibrille
orth	Fibrine
orth	Fic
orth	Fiel
orth	Fièvre
pb	137
orth	Fiévreux
orth	Figuré
orth	Filament
orth	Filamenteux
orth	Filet
orth	Filicite
orth	Filicornes
orth	Filière
orth	Filiforme
orth	Filon
orth	Filtration
orth	Filtre
orth	Fissiculation
orth	Fissipède
orth	Fissure
orth	Fistule
orth	Fistuleux
orth	Fixation
pb	138
orth	Fixe
orth	Fixer
orth	Fixité
orth	Flaccidité
orth	Flamme
orth	Flancs
orth	Flatulence
orth	Flatuleux
orth	Flatuosité
orth	Fléau
orth	Fléchisseur
orth	Flegmagogue
orth	Flegmasie
orth	Flegme
orth	Flegmon
orth	Flegmoneux
orth	Fleur
orth	Fleuraison
orth	Fleuron
pb	139
orth	Fleurs
orth	Fleurs blanches
orth	Flexibilité
orth	Flexible
orth	Flexion
orth	Flexueux
orth	Flocon
orth	Floral
orth	Flore
orth	Floripare
orth	Flottant
orth	Fluate
orth	Fluctuation
orth	Fluer
orth	Flueurs
orth	Fluide
orth	Fluidité
pb	140
orth	Fluor
orth	Fluorique
orth	Fluors
orth	Fluviatile
orth	Flux
orth	Fluxion
orth	Fœtus
orth	Foiblesse
orth	Foie
pb	141
orth	Foliacé
orth	Foliaire
orth	Folie
orth	Folié
orth	Foliiforme
orth	Foliipare
orth	Foliole
orth	Follette
orth	Follicule
orth	Fomentation
orth	Fonction
orth	Fondant
orth	Fondement
orth	Fongueux
orth	Fongus
pb	142
orth	Fontanelle
orth	Force
orth	Forceps
pb	143
orth	Formiate
orth	Formicant
orth	Formique
orth	Formule
orth	Fortifiant
orth	Fossile
orth	Foulure
orth	Fourmillant
orth	Fourmillement
orth	Fourneau
orth	Foyer
orth	Fracture
pb	144
orth	Fragilité
orth	Fragment
orth	Frai
orth	Frambœsia
orth	Frayer
orth	Frein
orth	Frêle
orth	Frémissement
pb	145
orth	Frénésie
orth	Fréquence
orth	Friabilité
orth	Friable
orth	Friction
orth	Frigidité
orth	Frigorifique
orth	Frigorique
orth	Frisson
orth	Frissonnement
orth	Fritte
orth	Froid
orth	Fromage
pb	146
orth	Fronde
orth	Front
orth	Frontal
orth	Frottement
orth	Fructiculeux
orth	Fructification
orth	Fructiforme
orth	Fruit
orth	Frutiqueux
orth	Fuligineux
orth	Fullomanie
orth	Fulminant
orth	Fulmination
orth	Fumiaire
orth	Fumigation
orth	Fureur utérine
pb	147
orth	Furfuracé
orth	Furoncle
orth	Fusibilité
orth	Fusible
orth	Fusicornes
orth	Fusiforme
orth	Fusion
orth	Gabellum
orth	Gadolinite
orth	Gaine
orth	Galacte
orth	Galactique
orth	Galactirrhée
orth	Galactite
orth	Galactode
orth	Galactographie
orth	Galactologie
orth	Galactophage
orth	Galactophore
pb	148
orth	Galactopoièse
orth	Galactoposie
orth	Galactopote
orth	Galactose
orth	Galaxie
orth	Galbanum
orth	Gale
orth	Galéanthropie
orth	Galène
orth	Galénique
orth	Gallate
orth	Galle
pb	149
orth	Gallin
orth	Galvanique
orth	Galvanisme
orth	Gangliforme
orth	Ganglion
orth	Gangrène
orth	Gangue
orth	Gargarisme
orth	Gaster
orth	Gastéropodes
orth	Gastérostées
pb	150
orth	Gastriloque
orth	Gastrique
orth	Gastrite
orth	Gastritis
orth	Gastrocnémiens
orth	Gastrocolique
orth	Gastrodynie
orth	Gastro-épiploïque
orth	Gastroraphie
orth	Gastrotomie
orth	Gaz
orth	Gazeux
orth	Gazomètre
orth	Géant
orth	Gélatine
orth	Gélatineux
orth	Gelée
orth	Gémination
pb	151
orth	Géminé
orth	Gemmipare
orth	Génal
orth	Gencive
orth	Génération
orth	Généreux
orth	Genèse
orth	Génésis
orth	Génethliaque
orth	Génienne (apophyse)
orth	Génioglosse
orth	Génio-hyoïdien
orth	Génio-pharyngien
orth	Génital
orth	Géniture
orth	Genou
orth	Genouillé
orth	Genre
orth	Géocentrique
orth	Géocyclique
pb	152
orth	Géode
orth	Géographie
orth	Géohydrographie
orth	Géologie
orth	Géométrie
orth	Géostatique
orth	Géranium
orth	Gerçure
orth	Germe
orth	Germé
orth	Germination
orth	Gérocomie
orth	Gestation
orth	Gesticulation
orth	Gibbosité
orth	Ginglyme
orth	Ginglymoïde
orth	Glabre
orth	Gladié
orth	Glaire
pb	153
orth	Glaise
orth	Gland
orth	Glande
orth	Glanduleux
orth	Glaucome
orth	Glauque
orth	Glène
orth	Glénoïdal
orth	Glénoïde
orth	Globe
orth	Globule
orth	Globuleux
orth	Globulicornes
orth	Glossocatoche
orth	Glossocome
orth	Glossographie
pb	154
orth	Glossoïde
orth	Glossologie
orth	Glossopalatin
orth	Glossopètres
orth	Glosso-pharyngien
orth	Glosso-sthaphylin
orth	Glossotomie
orth	Glotte
orth	Gloume
orth	Glucine
orth	Gluten
orth	Glutinatifs
orth	Glutineux
orth	Gnaphalium
orth	Gnomon
orth	Gnomonique
orth	Goître
orth	Gomme
pb	155
orth	Gomme-résine
orth	Gommes
orth	Gomphose
orth	Gonagre
orth	Gonflement
orth	Gongrone
orth	Goniomètre
orth	Goniométrie
orth	Gonoïde
orth	Gonorrhée
orth	Gonyalgie
orth	Gorceret
orth	Gorge
orth	Gosier
orth	Gouètre
orth	Goût
orth	Goutte
orth	Goutte sereine
pb	156
orth	Goutte-rose
orth	Goutte-sereine
orth	Gouttière
orth	Grain
orth	Graisse
orth	Gramen
orth	Graminées
orth	Gramme
orth	Grando
orth	Granulation
orth	Graphioïde
pb	157
orth	Graphomètre
orth	Grappe
orth	Gras-de-jambe
orth	Grattelle
orth	Gravatif
orth	Grave
orth	Gravedo
orth	Gravelée
orth	Gravelle
orth	Gravitation
orth	Gravité
orth	Graviter
orth	Greffer
orth	Grêle
orth	Grenouillette
orth	Grillage
orth	Grippe
orth	Gros
orth	Grossesse
orth	Grumeau
orth	Grumeleux
orth	Grypose
orth	Guérir
orth	Guérison
orth	Gustatif
orth	Gustation
orth	Guttural
pb	158
orth	Gymnase
orth	Gymnastique
orth	Gymnomurène
orth	Gymnopédie
orth	Gymnospermie
orth	Gymnote
orth	Gynandrie
orth	Gynanthrope
orth	Gynécée
orth	Gynécomaste
orth	Gypaètes
orth	Gypse
orth	Gypseux
orth	Habitude
orth	Hagard
orth	Hale
orth	Haleine
orth	Halica
orth	Haliotide
orth	Hallucination
orth	Halo
pb	159
orth	Halotechnie
orth	Halurgie
orth	Hameçonné
orth	Hampe
orth	Hanche
orth	Harmonie
orth	Hasté
orth	Hebdomadaire
orth	Hectare
orth	Hectique
orth	Hectisie
orth	Hectisme
orth	Hectogramme
orth	Hectolitre
orth	Hectomètre
orth	Hédra
orth	Hélianthe
orth	Hélianthème
orth	Héliaque
orth	Hélice
orth	Hélicoïde
orth	Héliocentrique
orth	Héliocomète
pb	160
orth	Héliomètre
orth	Hélioscope
orth	Héliotrope
orth	Hélix
orth	Helminthagogues
orth	Helminthiques
orth	Helmintologie
orth	Hélode
orth	Hélose
